date,location,store_name,playhub_link,attended_players
04/04/2026,Aberystwyth,Gamepark,https://tcg.ravensburgerplay.com/events/430388,8
04/04/2026,Andover,Collecteebles,https://tcg.ravensburgerplay.com/events/348804,16
04/04/2026,Banbury,Good Game Limited,https://tcg.ravensburgerplay.com/events/439322,24
04/04/2026,Bedford,Onyx Dawn Games,https://tcg.ravensburgerplay.com/events/457331,15
04/04/2026,Canterbury,Dice & Destiny,https://tcg.ravensburgerplay.com/events/427403,22
04/04/2026,Canvey Island,Nerd Base,https://tcg.ravensburgerplay.com/events/349716,16
04/04/2026,Castleford,Living Realms Castleford,https://tcg.ravensburgerplay.com/events/443960,18
04/04/2026,Chelmsford,Geek Retreat Chelmsford,https://tcg.ravensburgerplay.com/events/366288,15
04/04/2026,Dublin IE,Gamers World,https://tcg.ravensburgerplay.com/events/374212,15
04/04/2026,Dundee,Highlander Games,https://tcg.ravensburgerplay.com/events/434928,11
04/04/2026,Exeter,Union County Games Limited,https://tcg.ravensburgerplay.com/events/444067,5
04/04/2026,Glasgow,Tokyotoys Galsgow,https://tcg.ravensburgerplay.com/events/361801,18
04/04/2026,Ipswich,Forge And Finds,https://tcg.ravensburgerplay.com/events/348779,13
04/04/2026,Leamington Spa,The Games Den,https://tcg.ravensburgerplay.com/events/358896,11
04/04/2026,London,The Brotherhood Games Limited,https://tcg.ravensburgerplay.com/events/410971,27
04/04/2026,Newport,Firestorm Games Newport,,
04/04/2026,Newtownards NI,Northern Card Gaming,https://tcg.ravensburgerplay.com/events/418920,13
04/04/2026,Plymouth,The Venue Plymouth Limited,https://tcg.ravensburgerplay.com/events/376534,8
04/04/2026,Poole,Entoyment Hobby & Games Centre,https://tcg.ravensburgerplay.com/events/413782,19
04/04/2026,Portsmouth,Battle City Games,https://tcg.ravensburgerplay.com/events/472619,12
04/04/2026,Ripley,Jack In A Box,https://tcg.ravensburgerplay.com/events/446583,14
04/04/2026,Telford,Glasshammer Gaming,https://tcg.ravensburgerplay.com/events/463830,16
04/04/2026,Witney,Mystic Games,https://tcg.ravensburgerplay.com/events/359381,8
05/04/2026,Aberdeen,Thistle Tavern Games Hub,https://tcg.ravensburgerplay.com/events/411719,11
05/04/2026,Melton Mowbray,Balck Dragon Games Limited,https://tcg.ravensburgerplay.com/events/448962,8
